epoch,train_loss,val_loss,val_cer
1,3.8791390336151665,3.674928069114685,1.0
2,3.435846506281102,3.3662405237555504,0.90375
3,2.7855796441964222,2.2888493463397026,0.7118333333333333
4,1.6265390342008983,1.1007233448326588,0.32525
5,0.7227564040862077,0.49168582260608673,0.1085
6,0.32791364219383146,0.2817877568304539,0.060083333333333336
7,0.17516057018903977,0.16421653423458338,0.03858333333333333
8,0.09256736202337218,0.10293504991568625,0.02666666666666667
9,0.05372877604598906,0.0835673923138529,0.018666666666666668
10,0.03711548158304488,0.07538849755655974,0.017916666666666668
11,0.030758565100213738,0.08038143697194755,0.018333333333333333
12,0.026673377990220667,0.07739066804060712,0.018583333333333334
13,0.024365665232564542,0.06270034948829561,0.013583333333333333
14,0.02217231262211047,0.07393106559175067,0.01725
15,0.022134767062565747,0.0419530960789416,0.011083333333333334
16,0.01480741870047934,0.04885213777015451,0.011
17,0.012417451700638214,0.1055672632646747,0.023583333333333335
18,0.021654472815150275,0.06402536679524928,0.01325
19,0.022924787956884407,0.08097915729740635,0.015
20,0.013314266006316963,0.07505227287765592,0.016
21,0.01448819515912906,0.043340778443962336,0.010083333333333333
22,0.014354034715847291,0.029588187811896205,0.008166666666666666
23,0.008532831191451864,0.04750747207435779,0.009416666666666667
24,0.014395501190905479,0.06756133426097222,0.01275
25,0.012480590979614896,0.04108124683261849,0.009333333333333334
26,0.010590691834850011,0.030134396634821314,0.008
27,0.012571544942102587,0.04029390439973213,0.008416666666666666
28,0.01073746556698523,0.07261423580348492,0.018916666666666665
29,0.02664357762790371,0.03822450521693099,0.00825
30,0.010356292947185562,0.06268355395877734,0.011
31,0.019167590779021172,0.036878513088595355,0.0069166666666666664
32,0.009532455312614891,0.04211653890524758,0.0075
33,0.01875631280362289,0.031613282015314326,0.008833333333333334
34,0.01692671234412317,0.04856045651831664,0.012333333333333333
35,0.01065891706805795,0.029116039790096693,0.006
36,0.01798951704610727,0.03411991657776525,0.007833333333333333
37,0.01082486559344614,0.0741519528965,0.015583333333333333
38,0.01970872505203035,0.13872706692200154,0.030416666666666668
39,0.015430250021394554,0.031293072664993815,0.007166666666666667
40,0.013356684005723487,0.08254700672114268,0.020166666666666666
41,0.01875340231159266,0.07535036891931668,0.01625
42,0.019391846038064264,0.05730376342398813,0.009666666666666667
43,0.008739339809242226,0.030538253933627857,0.005916666666666666
44,0.011098639147871353,0.02617777405976085,0.005416666666666667
45,0.004857686473653612,0.028661439833740587,0.0065
46,0.005129818356032847,0.02203928626204288,0.004833333333333334
47,0.0030577577492024036,0.027860219921421958,0.00525
48,0.0038956992456347663,0.026030480628833175,0.005
49,0.009735644580540413,0.08283186820335686,0.01875
50,0.0195447718959916,0.03371980600786628,0.007333333333333333
51,0.01776369978303869,0.040396313059318345,0.007666666666666666
52,0.01316042383018128,0.04245852486201329,0.010166666666666666
53,0.011767852407837193,0.01872199558238208,0.0045
54,0.003877082493148764,0.021082790243781346,0.00425
55,0.00161419349669104,0.017875628658202913,0.004166666666666667
56,0.0025001975816281528,0.022234048617974622,0.005916666666666666
57,0.010099824870926664,0.03163420434430009,0.008083333333333333
58,0.011834675091127237,0.031937972835294204,0.008083333333333333
59,0.006116551025696297,0.034007405149168335,0.007333333333333333
60,0.0062059094580938935,0.034381882771413075,0.007083333333333333
